times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors,duration_s,duration_m
"[0, 0, 0, 0, 0, 0, 815]",2015,2,23,2014/2015,2,4,1,15,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'FINISH']",ACM,1,4,815,13
"[0, 0, 119]",2015,2,23,2014/2015,2,4,1,16,"['START', 'JOIN', 'FINISH']",MATH,1,4,119,1
"[0, 0, 0, 127]",2015,2,23,2014/2015,2,4,1,16,"['START', 'JOIN', 'JOIN', 'FINISH']",ACM,1,4,127,2
"[0, 0, 60]",2015,2,23,2014/2015,2,4,1,16,"['START', 'JOIN', 'FINISH']",MST,1,4,60,1
"[0, 0, 3029, 3036]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,2,4,7,0
"[0, 0, 1704]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'FINISH']",ACM,1,4,1704,28
"[0, 0, 0, 951]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,4,951,15
"[0, 0, 0, 6]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,4,6,0
"[0, 0, 1506, 1781]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'TRANSFER', 'FINISH']",ACM,1,4,275,4
"[0, 0, 0, 991, 998]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4,7,0
"[0, 0, 0, 0, 1537, 1540]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4,3,0
"[0, 0, 799]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'FINISH']",SBUS,1,4,799,13
"[0, 0, 0, 0, 4860, 5313]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4,453,7
"[0, 0, 3826, 5244, 5275, 5278]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'TRANSFER', 'FINISH']",ACM,1,4,3,0
"[0, 0, 4459, 4635]",2015,2,24,2014/2015,2,4,2,11,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4,176,2
"[0, 0, 0, 3648, 3644]",2015,2,24,2014/2015,2,4,2,11,"['START', 'JOIN', 'JOIN', 'FINISH', 'TRANSFER']",STAT,2,4,4,0
